82041 silly lifecycle callsite@1.0.0~preinstall: no script for preinstall, continuing
84767 silly build async@1.5.2
84768 info linkStuff async@1.5.2
84769 silly linkStuff async@1.5.2 has D:\zhongzi\node_modules\form-data\node_modules as its parent node_modules
84770 verbose linkBins async@1.5.2
84771 verbose linkMans async@1.5.2
84772 silly build formidable@1.0.17
84773 info linkStuff formidable@1.0.17
84774 silly linkStuff formidable@1.0.17 has D:\zhongzi\node_modules as its parent node_modules
84775 verbose linkBins formidable@1.0.17
84776 verbose linkMans formidable@1.0.17
84777 silly build fresh@0.3.0
84778 info linkStuff fresh@0.3.0
84779 silly linkStuff fresh@0.3.0 has D:\zhongzi\node_modules as its parent node_modules
84780 verbose linkBins fresh@0.3.0
84781 verbose linkMans fresh@0.3.0
84782 silly build browser-sync-client@2.4.2
84783 info linkStuff browser-sync-client@2.4.2
84784 silly linkStuff browser-sync-client@2.4.2 has D:\zhongzi\node_modules as its parent node_modules
84785 verbose linkBins browser-sync-client@2.4.2
84786 verbose linkMans browser-sync-client@2.4.2
84787 silly build graceful-fs@4.1.4
84788 info linkStuff graceful-fs@4.1.4
84789 silly linkStuff graceful-fs@4.1.4 has D:\zhongzi\node_modules\fs-extra\node_modules as its parent node_modules
84790 verbose linkBins graceful-fs@4.1.4
84791 verbose linkMans graceful-fs@4.1.4
84792 silly build fs-readdir-recursive@0.1.2
84793 info linkStuff fs-readdir-recursive@0.1.2
84794 silly linkStuff fs-readdir-recursive@0.1.2 has D:\zhongzi\node_modules as its parent node_modules
84795 verbose linkBins fs-readdir-recursive@0.1.2
84796 verbose linkMans fs-readdir-recursive@0.1.2
84797 silly build generate-function@2.0.0
84798 info linkStuff generate-function@2.0.0
84799 silly linkStuff generate-function@2.0.0 has D:\zhongzi\node_modules as its parent node_modules
84800 verbose linkBins generate-function@2.0.0
84801 verbose linkMans generate-function@2.0.0
84802 silly build get-stdin@4.0.1
84803 info linkStuff get-stdin@4.0.1
84804 silly linkStuff get-stdin@4.0.1 has D:\zhongzi\node_modules as its parent node_modules
84805 verbose linkBins get-stdin@4.0.1
84806 verbose linkMans get-stdin@4.0.1
84807 silly build getobject@0.1.0
84808 info linkStuff getobject@0.1.0
84809 silly linkStuff getobject@0.1.0 has D:\zhongzi\node_modules as its parent node_modules
84810 verbose linkBins getobject@0.1.0
84811 verbose linkMans getobject@0.1.0
84812 silly build assert-plus@1.0.0
84813 info linkStuff assert-plus@1.0.0
84814 silly linkStuff assert-plus@1.0.0 has D:\zhongzi\node_modules\getpass\node_modules as its parent node_modules
84815 verbose linkBins assert-plus@1.0.0
84816 verbose linkMans assert-plus@1.0.0
84817 silly build getpass@0.1.6
84818 info linkStuff getpass@0.1.6
84819 silly linkStuff getpass@0.1.6 has D:\zhongzi\node_modules as its parent node_modules
84820 verbose linkBins getpass@0.1.6
84821 verbose linkMans getpass@0.1.6
84822 silly build minimatch@3.0.0
84823 info linkStuff minimatch@3.0.0
84824 silly linkStuff minimatch@3.0.0 has D:\zhongzi\node_modules\glob-stream\node_modules as its parent node_modules
84825 verbose linkBins minimatch@3.0.0
84826 verbose linkMans minimatch@3.0.0
84827 silly build inherits@1.0.2
84828 info linkStuff inherits@1.0.2
84829 silly linkStuff inherits@1.0.2 has D:\zhongzi\node_modules\glob\node_modules as its parent node_modules
84830 verbose linkBins inherits@1.0.2
84831 verbose linkMans inherits@1.0.2
84832 silly build glob2base@0.0.12
84833 info linkStuff glob2base@0.0.12
84834 silly linkStuff glob2base@0.0.12 has D:\zhongzi\node_modules as its parent node_modules
84835 verbose linkBins glob2base@0.0.12
84836 verbose linkMans glob2base@0.0.12
84837 silly build globals@6.4.1
84838 info linkStuff globals@6.4.1
84839 silly linkStuff globals@6.4.1 has D:\zhongzi\node_modules as its parent node_modules
84840 verbose linkBins globals@6.4.1
84841 verbose linkMans globals@6.4.1
84842 silly build minimatch@3.0.0
84843 info linkStuff minimatch@3.0.0
84844 silly linkStuff minimatch@3.0.0 has D:\zhongzi\node_modules\globby\node_modules as its parent node_modules
84845 verbose linkBins minimatch@3.0.0
84846 verbose linkMans minimatch@3.0.0
84847 silly build lodash@1.0.2
84848 info linkStuff lodash@1.0.2
84849 silly linkStuff lodash@1.0.2 has D:\zhongzi\node_modules\globule\node_modules as its parent node_modules
84850 verbose linkBins lodash@1.0.2
84851 verbose linkMans lodash@1.0.2
84852 silly build graceful-fs@1.2.3
84853 info linkStuff graceful-fs@1.2.3
84854 silly linkStuff graceful-fs@1.2.3 has D:\zhongzi\node_modules as its parent node_modules
84855 verbose linkBins graceful-fs@1.2.3
84856 verbose linkMans graceful-fs@1.2.3
84857 silly build graceful-readlink@1.0.1
84858 info linkStuff graceful-readlink@1.0.1
84859 silly linkStuff graceful-readlink@1.0.1 has D:\zhongzi\node_modules as its parent node_modules
84860 verbose linkBins graceful-readlink@1.0.1
84861 verbose linkMans graceful-readlink@1.0.1
84862 silly build commander@2.9.0
84863 info linkStuff commander@2.9.0
84864 silly linkStuff commander@2.9.0 has D:\zhongzi\node_modules as its parent node_modules
84865 verbose linkBins commander@2.9.0
84866 verbose linkMans commander@2.9.0
84867 silly build commander@2.8.1
84868 info linkStuff commander@2.8.1
84869 silly linkStuff commander@2.8.1 has D:\zhongzi\node_modules\clean-css\node_modules as its parent node_modules
84870 verbose linkBins commander@2.8.1
84871 verbose linkMans commander@2.8.1
84872 silly build clean-css@3.4.13
84873 info linkStuff clean-css@3.4.13
84874 silly linkStuff clean-css@3.4.13 has D:\zhongzi\node_modules as its parent node_modules
84875 verbose linkBins clean-css@3.4.13
84876 verbose link bins [ { cleancss: './bin/cleancss' },
84876 verbose link bins   'D:\\zhongzi\\node_modules\\.bin',
84876 verbose link bins   false ]
84877 verbose linkMans clean-css@3.4.13
84878 silly build growl@1.8.1
84879 info linkStuff growl@1.8.1
84880 silly linkStuff growl@1.8.1 has D:\zhongzi\node_modules as its parent node_modules
84881 verbose linkBins growl@1.8.1
84882 verbose linkMans growl@1.8.1
84883 silly build async@0.9.2
84884 info linkStuff async@0.9.2
84885 silly linkStuff async@0.9.2 has D:\zhongzi\node_modules\grunt-concurrent\node_modules as its parent node_modules
84886 verbose linkBins async@0.9.2
84887 verbose linkMans async@0.9.2
84888 silly build ansi-regex@0.2.1
84889 info linkStuff ansi-regex@0.2.1
84890 silly linkStuff ansi-regex@0.2.1 has D:\zhongzi\node_modules\grunt-contrib-concat\node_modules as its parent node_modules
84891 verbose linkBins ansi-regex@0.2.1
84892 verbose linkMans ansi-regex@0.2.1
84893 silly build ansi-styles@1.1.0
84894 info linkStuff ansi-styles@1.1.0
84895 silly linkStuff ansi-styles@1.1.0 has D:\zhongzi\node_modules\grunt-contrib-concat\node_modules as its parent node_modules
84896 verbose linkBins ansi-styles@1.1.0
84897 verbose linkMans ansi-styles@1.1.0
84898 silly build has-ansi@0.1.0
84899 info linkStuff has-ansi@0.1.0
84900 silly linkStuff has-ansi@0.1.0 has D:\zhongzi\node_modules\grunt-contrib-concat\node_modules as its parent node_modules
84901 verbose linkBins has-ansi@0.1.0
84902 verbose link bins [ { 'has-ansi': 'cli.js' },
84902 verbose link bins   'D:\\zhongzi\\node_modules\\grunt-contrib-concat\\node_modules\\.bin',
84902 verbose link bins   false ]
84903 verbose linkMans has-ansi@0.1.0
84904 silly build source-map@0.3.0
84905 info linkStuff source-map@0.3.0
84906 silly linkStuff source-map@0.3.0 has D:\zhongzi\node_modules\grunt-contrib-concat\node_modules as its parent node_modules
84907 verbose linkBins source-map@0.3.0
84908 verbose linkMans source-map@0.3.0
84909 silly build strip-ansi@0.3.0
84910 info linkStuff strip-ansi@0.3.0
84911 silly linkStuff strip-ansi@0.3.0 has D:\zhongzi\node_modules\grunt-contrib-concat\node_modules as its parent node_modules
84912 verbose linkBins strip-ansi@0.3.0
84913 verbose link bins [ { 'strip-ansi': 'cli.js' },
84913 verbose link bins   'D:\\zhongzi\\node_modules\\grunt-contrib-concat\\node_modules\\.bin',
84913 verbose link bins   false ]
84914 verbose linkMans strip-ansi@0.3.0
84915 silly build supports-color@0.2.0
84916 info linkStuff supports-color@0.2.0
84917 silly linkStuff supports-color@0.2.0 has D:\zhongzi\node_modules\grunt-contrib-concat\node_modules as its parent node_modules
84918 verbose linkBins supports-color@0.2.0
84919 verbose link bins [ { 'supports-color': 'cli.js' },
84919 verbose link bins   'D:\\zhongzi\\node_modules\\grunt-contrib-concat\\node_modules\\.bin',
84919 verbose link bins   false ]
84920 verbose linkMans supports-color@0.2.0
84921 silly build chalk@0.5.1
84922 info linkStuff chalk@0.5.1
84923 silly linkStuff chalk@0.5.1 has D:\zhongzi\node_modules\grunt-contrib-concat\node_modules as its parent node_modules
84924 verbose linkBins chalk@0.5.1
84925 verbose linkMans chalk@0.5.1
84926 silly build grunt-contrib-concat@0.5.1
84927 info linkStuff grunt-contrib-concat@0.5.1
84928 silly linkStuff grunt-contrib-concat@0.5.1 has D:\zhongzi\node_modules as its parent node_modules
84929 verbose linkBins grunt-contrib-concat@0.5.1
84930 verbose linkMans grunt-contrib-concat@0.5.1
84931 silly build ansi-regex@0.2.1
84932 info linkStuff ansi-regex@0.2.1
84933 silly linkStuff ansi-regex@0.2.1 has D:\zhongzi\node_modules\grunt-contrib-htmlmin\node_modules as its parent node_modules
84934 verbose linkBins ansi-regex@0.2.1
84935 verbose linkMans ansi-regex@0.2.1
84936 silly build ansi-styles@1.1.0
84937 info linkStuff ansi-styles@1.1.0
84938 silly linkStuff ansi-styles@1.1.0 has D:\zhongzi\node_modules\grunt-contrib-htmlmin\node_modules as its parent node_modules
84939 verbose linkBins ansi-styles@1.1.0
84940 verbose linkMans ansi-styles@1.1.0
84941 silly build has-ansi@0.1.0
84942 info linkStuff has-ansi@0.1.0
84943 silly linkStuff has-ansi@0.1.0 has D:\zhongzi\node_modules\grunt-contrib-htmlmin\node_modules as its parent node_modules
84944 verbose linkBins has-ansi@0.1.0
84945 verbose link bins [ { 'has-ansi': 'cli.js' },
84945 verbose link bins   'D:\\zhongzi\\node_modules\\grunt-contrib-htmlmin\\node_modules\\.bin',
84945 verbose link bins   false ]
84946 verbose linkMans has-ansi@0.1.0
84947 silly build strip-ansi@0.3.0
84948 info linkStuff strip-ansi@0.3.0
84949 silly linkStuff strip-ansi@0.3.0 has D:\zhongzi\node_modules\grunt-contrib-htmlmin\node_modules as its parent node_modules
84950 verbose linkBins strip-ansi@0.3.0
84951 verbose link bins [ { 'strip-ansi': 'cli.js' },
84951 verbose link bins   'D:\\zhongzi\\node_modules\\grunt-contrib-htmlmin\\node_modules\\.bin',
84951 verbose link bins   false ]
84952 verbose linkMans strip-ansi@0.3.0
84953 silly build supports-color@0.2.0
84954 info linkStuff supports-color@0.2.0
84955 silly linkStuff supports-color@0.2.0 has D:\zhongzi\node_modules\grunt-contrib-htmlmin\node_modules as its parent node_modules
84956 verbose linkBins supports-color@0.2.0
84957 verbose link bins [ { 'supports-color': 'cli.js' },
84957 verbose link bins   'D:\\zhongzi\\node_modules\\grunt-contrib-htmlmin\\node_modules\\.bin',
84957 verbose link bins   false ]
84958 verbose linkMans supports-color@0.2.0
84959 silly build chalk@0.5.1
84960 info linkStuff chalk@0.5.1
84961 silly linkStuff chalk@0.5.1 has D:\zhongzi\node_modules\grunt-contrib-htmlmin\node_modules as its parent node_modules
84962 verbose linkBins chalk@0.5.1
84963 verbose linkMans chalk@0.5.1
84964 silly build async@0.9.2
84965 info linkStuff async@0.9.2
84966 silly linkStuff async@0.9.2 has D:\zhongzi\node_modules\grunt-contrib-imagemin\node_modules as its parent node_modules
84967 verbose linkBins async@0.9.2
84968 verbose linkMans async@0.9.2
84969 silly build async@0.2.10
84970 info linkStuff async@0.2.10
84971 silly linkStuff async@0.2.10 has D:\zhongzi\node_modules\grunt-contrib-uglify\node_modules as its parent node_modules
84972 verbose linkBins async@0.2.10
84973 verbose linkMans async@0.2.10
84974 silly build lodash@3.10.1
84975 info linkStuff lodash@3.10.1
84976 silly linkStuff lodash@3.10.1 has D:\zhongzi\node_modules\grunt-contrib-uglify\node_modules as its parent node_modules
84977 verbose linkBins lodash@3.10.1
84978 verbose linkMans lodash@3.10.1
84979 silly build source-map@0.1.34
84980 info linkStuff source-map@0.1.34
84981 silly linkStuff source-map@0.1.34 has D:\zhongzi\node_modules\grunt-contrib-uglify\node_modules as its parent node_modules
84982 verbose linkBins source-map@0.1.34
84983 verbose linkMans source-map@0.1.34
84984 silly build yargs@1.3.3
84985 info linkStuff yargs@1.3.3
84986 silly linkStuff yargs@1.3.3 has D:\zhongzi\node_modules\grunt-contrib-uglify\node_modules as its parent node_modules
84987 verbose linkBins yargs@1.3.3
84988 verbose linkMans yargs@1.3.3
84989 silly build async@0.2.10
84990 info linkStuff async@0.2.10
84991 silly linkStuff async@0.2.10 has D:\zhongzi\node_modules\grunt-contrib-watch\node_modules as its parent node_modules
84992 verbose linkBins async@0.2.10
84993 verbose linkMans async@0.2.10
84994 silly build lodash@2.4.2
84995 info linkStuff lodash@2.4.2
84996 silly linkStuff lodash@2.4.2 has D:\zhongzi\node_modules\grunt-contrib-watch\node_modules as its parent node_modules
84997 verbose linkBins lodash@2.4.2
84998 verbose linkMans lodash@2.4.2
84999 silly build each-async@0.1.3
85000 info linkStuff each-async@0.1.3
85001 silly linkStuff each-async@0.1.3 has D:\zhongzi\node_modules\grunt-filerev\node_modules as its parent node_modules
85002 verbose linkBins each-async@0.1.3
85003 verbose linkMans each-async@0.1.3
85004 silly build lodash@2.4.2
85005 info linkStuff lodash@2.4.2
85006 silly linkStuff lodash@2.4.2 has D:\zhongzi\node_modules\grunt-legacy-log-utils\node_modules as its parent node_modules
85007 verbose linkBins lodash@2.4.2
85008 verbose linkMans lodash@2.4.2
85009 silly build underscore.string@2.3.3
85010 info linkStuff underscore.string@2.3.3
85011 silly linkStuff underscore.string@2.3.3 has D:\zhongzi\node_modules\grunt-legacy-log-utils\node_modules as its parent node_modules
85012 verbose linkBins underscore.string@2.3.3
85013 verbose linkMans underscore.string@2.3.3
85014 silly build grunt-legacy-log-utils@0.1.1
85015 info linkStuff grunt-legacy-log-utils@0.1.1
85016 silly linkStuff grunt-legacy-log-utils@0.1.1 has D:\zhongzi\node_modules as its parent node_modules
85017 verbose linkBins grunt-legacy-log-utils@0.1.1
85018 verbose linkMans grunt-legacy-log-utils@0.1.1
85019 silly build lodash@2.4.2
85020 info linkStuff lodash@2.4.2
85021 silly linkStuff lodash@2.4.2 has D:\zhongzi\node_modules\grunt-legacy-log\node_modules as its parent node_modules
85022 verbose linkBins lodash@2.4.2
85023 verbose linkMans lodash@2.4.2
85024 silly build underscore.string@2.3.3
85025 info linkStuff underscore.string@2.3.3
85026 silly linkStuff underscore.string@2.3.3 has D:\zhongzi\node_modules\grunt-legacy-log\node_modules as its parent node_modules
85027 verbose linkBins underscore.string@2.3.3
85028 verbose linkMans underscore.string@2.3.3
85029 silly build semver@4.3.6
85030 info linkStuff semver@4.3.6
85031 silly linkStuff semver@4.3.6 has D:\zhongzi\node_modules\grunt-lib-phantomjs\node_modules as its parent node_modules
85032 verbose linkBins semver@4.3.6
85033 verbose link bins [ { semver: './bin/semver' },
85033 verbose link bins   'D:\\zhongzi\\node_modules\\grunt-lib-phantomjs\\node_modules\\.bin',
85033 verbose link bins   false ]
85034 verbose linkMans semver@4.3.6
85035 silly build lodash@3.10.1
85036 info linkStuff lodash@3.10.1
85037 silly linkStuff lodash@3.10.1 has D:\zhongzi\node_modules\grunt-mocha\node_modules as its parent node_modules
85038 verbose linkBins lodash@3.10.1
85039 verbose linkMans lodash@3.10.1
85040 silly build async@1.5.2
85041 info linkStuff async@1.5.2
85042 silly linkStuff async@1.5.2 has D:\zhongzi\node_modules\grunt-newer\node_modules as its parent node_modules
85043 verbose linkBins async@1.5.2
85044 verbose linkMans async@1.5.2
85045 silly build minimatch@3.0.0
85046 info linkStuff minimatch@3.0.0
85047 silly linkStuff minimatch@3.0.0 has D:\zhongzi\node_modules\grunt-newer\node_modules as its parent node_modules
85048 verbose linkBins minimatch@3.0.0
85049 verbose linkMans minimatch@3.0.0
85050 silly build diff@2.2.2
85051 info linkStuff diff@2.2.2
85052 silly linkStuff diff@2.2.2 has D:\zhongzi\node_modules\grunt-postcss\node_modules as its parent node_modules
85053 verbose linkBins diff@2.2.2
85054 verbose linkMans diff@2.2.2
85055 silly build colors@1.1.2
85056 info linkStuff colors@1.1.2
85057 silly linkStuff colors@1.1.2 has D:\zhongzi\node_modules\grunt-svgmin\node_modules as its parent node_modules
85058 verbose linkBins colors@1.1.2
85059 verbose linkMans colors@1.1.2
85060 silly build esprima@2.2.0
85061 info linkStuff esprima@2.2.0
85062 silly linkStuff esprima@2.2.0 has D:\zhongzi\node_modules\grunt-svgmin\node_modules as its parent node_modules
85063 verbose linkBins esprima@2.2.0
85064 verbose link bins [ { esparse: './bin/esparse.js',
85064 verbose link bins     esvalidate: './bin/esvalidate.js' },
85064 verbose link bins   'D:\\zhongzi\\node_modules\\grunt-svgmin\\node_modules\\.bin',
85064 verbose link bins   false ]
85065 verbose linkMans esprima@2.2.0
85066 silly build sax@1.1.6
85067 info linkStuff sax@1.1.6
85068 silly linkStuff sax@1.1.6 has D:\zhongzi\node_modules\grunt-svgmin\node_modules as its parent node_modules
85069 verbose linkBins sax@1.1.6
85070 verbose linkMans sax@1.1.6
85071 silly build lodash@3.10.1
85072 info linkStuff lodash@3.10.1
85073 silly linkStuff lodash@3.10.1 has D:\zhongzi\node_modules\grunt-usemin\node_modules as its parent node_modules
85074 verbose linkBins lodash@3.10.1
85075 verbose linkMans lodash@3.10.1
85076 silly build gulp-rename@1.2.2
85077 info linkStuff gulp-rename@1.2.2
85078 silly linkStuff gulp-rename@1.2.2 has D:\zhongzi\node_modules as its parent node_modules
85079 verbose linkBins gulp-rename@1.2.2
85080 verbose linkMans gulp-rename@1.2.2
85081 silly build graceful-fs@4.1.4
85082 info linkStuff graceful-fs@4.1.4
85083 silly linkStuff graceful-fs@4.1.4 has D:\zhongzi\node_modules\gulp-sourcemaps\node_modules as its parent node_modules
85084 verbose linkBins graceful-fs@4.1.4
85085 verbose linkMans graceful-fs@4.1.4
85086 silly build object-assign@3.0.0
85087 info linkStuff object-assign@3.0.0
85088 silly linkStuff object-assign@3.0.0 has D:\zhongzi\node_modules\gulp-util\node_modules as its parent node_modules
85089 verbose linkBins object-assign@3.0.0
85090 verbose linkMans object-assign@3.0.0
85091 silly build async@1.5.2
85092 info linkStuff async@1.5.2
85093 silly linkStuff async@1.5.2 has D:\zhongzi\node_modules\handlebars\node_modules as its parent node_modules
85094 verbose linkBins async@1.5.2
85095 verbose linkMans async@1.5.2
85096 silly build source-map@0.4.4
85097 info linkStuff source-map@0.4.4
85098 silly linkStuff source-map@0.4.4 has D:\zhongzi\node_modules\handlebars\node_modules as its parent node_modules
85099 verbose linkBins source-map@0.4.4
85100 verbose linkMans source-map@0.4.4
85101 silly build async@0.2.10
85102 info linkStuff async@0.2.10
85103 silly linkStuff async@0.2.10 has D:\zhongzi\node_modules\handlebars\node_modules\uglify-js\node_modules as its parent node_modules
85104 verbose linkBins async@0.2.10
85105 verbose linkMans async@0.2.10
85106 silly build source-map@0.5.6
85107 info linkStuff source-map@0.5.6
85108 silly linkStuff source-map@0.5.6 has D:\zhongzi\node_modules\handlebars\node_modules\uglify-js\node_modules as its parent node_modules
85109 verbose linkBins source-map@0.5.6
85110 verbose linkMans source-map@0.5.6
85111 silly build window-size@0.1.0
85112 info linkStuff window-size@0.1.0
85113 silly linkStuff window-size@0.1.0 has D:\zhongzi\node_modules\handlebars\node_modules as its parent node_modules
85114 verbose linkBins window-size@0.1.0
85115 verbose linkMans window-size@0.1.0
85116 silly build has-ansi@2.0.0
85117 info linkStuff has-ansi@2.0.0
85118 silly linkStuff has-ansi@2.0.0 has D:\zhongzi\node_modules as its parent node_modules
85119 verbose linkBins has-ansi@2.0.0
85120 verbose linkMans has-ansi@2.0.0
85121 silly build isarray@0.0.1
85122 info linkStuff isarray@0.0.1
85123 silly linkStuff isarray@0.0.1 has D:\zhongzi\node_modules\has-binary\node_modules as its parent node_modules
85124 verbose linkBins isarray@0.0.1
85125 verbose linkMans isarray@0.0.1
85126 silly build has-binary@0.1.7
85127 info linkStuff has-binary@0.1.7
85128 silly linkStuff has-binary@0.1.7 has D:\zhongzi\node_modules as its parent node_modules
85129 verbose linkBins has-binary@0.1.7
85130 verbose linkMans has-binary@0.1.7
85131 silly build has-cors@1.1.0
85132 info linkStuff has-cors@1.1.0
85133 silly linkStuff has-cors@1.1.0 has D:\zhongzi\node_modules as its parent node_modules
85134 verbose linkBins has-cors@1.1.0
85135 verbose linkMans has-cors@1.1.0
85136 silly build has-flag@1.0.0
85137 info linkStuff has-flag@1.0.0
85138 silly linkStuff has-flag@1.0.0 has D:\zhongzi\node_modules as its parent node_modules
85139 verbose linkBins has-flag@1.0.0
85140 verbose linkMans has-flag@1.0.0
85141 silly build hoek@2.16.3
85142 info linkStuff hoek@2.16.3
85143 silly linkStuff hoek@2.16.3 has D:\zhongzi\node_modules as its parent node_modules
85144 verbose linkBins hoek@2.16.3
85145 verbose linkMans hoek@2.16.3
85146 silly build boom@2.10.1
85147 info linkStuff boom@2.10.1
85148 silly linkStuff boom@2.10.1 has D:\zhongzi\node_modules as its parent node_modules
85149 verbose linkBins boom@2.10.1
85150 verbose linkMans boom@2.10.1
85151 silly build cryptiles@2.0.5
85152 info linkStuff cryptiles@2.0.5
85153 silly linkStuff cryptiles@2.0.5 has D:\zhongzi\node_modules as its parent node_modules
85154 verbose linkBins cryptiles@2.0.5
85155 verbose linkMans cryptiles@2.0.5
85156 silly build hooker@0.2.3
85157 info linkStuff hooker@0.2.3
85158 silly linkStuff hooker@0.2.3 has D:\zhongzi\node_modules as its parent node_modules
85159 verbose linkBins hooker@0.2.3
85160 verbose linkMans hooker@0.2.3
85161 silly build grunt-legacy-log@0.1.3
85162 info linkStuff grunt-legacy-log@0.1.3
85163 silly linkStuff grunt-legacy-log@0.1.3 has D:\zhongzi\node_modules as its parent node_modules
85164 verbose linkBins grunt-legacy-log@0.1.3
85165 verbose linkMans grunt-legacy-log@0.1.3
85166 silly build hosted-git-info@2.1.5
85167 info linkStuff hosted-git-info@2.1.5
85168 silly linkStuff hosted-git-info@2.1.5 has D:\zhongzi\node_modules as its parent node_modules
85169 verbose linkBins hosted-git-info@2.1.5
85170 verbose linkMans hosted-git-info@2.1.5
85171 silly build commander@2.6.0
85172 info linkStuff commander@2.6.0
85173 silly linkStuff commander@2.6.0 has D:\zhongzi\node_modules\html-minifier\node_modules as its parent node_modules
85174 verbose linkBins commander@2.6.0
85175 verbose linkMans commander@2.6.0
85176 silly build isarray@0.0.1
85177 info linkStuff isarray@0.0.1
85178 silly linkStuff isarray@0.0.1 has D:\zhongzi\node_modules\html-minifier\node_modules as its parent node_modules
85179 verbose linkBins isarray@0.0.1
85180 verbose linkMans isarray@0.0.1
85181 silly build source-map@0.1.43
85182 info linkStuff source-map@0.1.43
85183 silly linkStuff source-map@0.1.43 has D:\zhongzi\node_modules\html-minifier\node_modules as its parent node_modules
85184 verbose linkBins source-map@0.1.43
85185 verbose linkMans source-map@0.1.43
85186 silly build clean-css@3.1.9
85187 info linkStuff clean-css@3.1.9
85188 silly linkStuff clean-css@3.1.9 has D:\zhongzi\node_modules\html-minifier\node_modules as its parent node_modules
85189 verbose linkBins clean-css@3.1.9
85190 verbose link bins [ { cleancss: './bin/cleancss' },
85190 verbose link bins   'D:\\zhongzi\\node_modules\\html-minifier\\node_modules\\.bin',
85190 verbose link bins   false ]
85191 verbose linkMans clean-css@3.1.9
85192 silly build http-signature@0.11.0
85193 info linkStuff http-signature@0.11.0
85194 silly linkStuff http-signature@0.11.0 has D:\zhongzi\node_modules as its parent node_modules
85195 verbose linkBins http-signature@0.11.0
85196 verbose linkMans http-signature@0.11.0
85197 silly build iconv-lite@0.2.11
85198 info linkStuff iconv-lite@0.2.11
85199 silly linkStuff iconv-lite@0.2.11 has D:\zhongzi\node_modules as its parent node_modules
85200 verbose linkBins iconv-lite@0.2.11
85201 verbose linkMans iconv-lite@0.2.11
85202 silly build immutable@3.7.6
85203 info linkStuff immutable@3.7.6
85204 silly linkStuff immutable@3.7.6 has D:\zhongzi\node_modules as its parent node_modules
85205 verbose linkBins immutable@3.7.6
85206 verbose linkMans immutable@3.7.6
85207 silly build indexof@0.0.1
85208 info linkStuff indexof@0.0.1
85209 silly linkStuff indexof@0.0.1 has D:\zhongzi\node_modules as its parent node_modules
85210 verbose linkBins indexof@0.0.1
85211 verbose linkMans indexof@0.0.1
85212 silly build inherits@2.0.1
85213 info linkStuff inherits@2.0.1
85214 silly linkStuff inherits@2.0.1 has D:\zhongzi\node_modules as its parent node_modules
85215 verbose linkBins inherits@2.0.1
85216 verbose linkMans inherits@2.0.1
85217 silly build ini@1.3.4
85218 info linkStuff ini@1.3.4
85219 silly linkStuff ini@1.3.4 has D:\zhongzi\node_modules as its parent node_modules
85220 verbose linkBins ini@1.3.4
85221 verbose linkMans ini@1.3.4
85222 silly build lodash@3.10.1
85223 info linkStuff lodash@3.10.1
85224 silly linkStuff lodash@3.10.1 has D:\zhongzi\node_modules\inquirer\node_modules as its parent node_modules
85225 verbose linkBins lodash@3.10.1
85226 verbose linkMans lodash@3.10.1
85227 silly build invert-kv@1.0.0
85228 info linkStuff invert-kv@1.0.0
85229 silly linkStuff invert-kv@1.0.0 has D:\zhongzi\node_modules as its parent node_modules
85230 verbose linkBins invert-kv@1.0.0
85231 verbose linkMans invert-kv@1.0.0
85232 silly build ip-regex@1.0.3
85233 info linkStuff ip-regex@1.0.3
85234 silly linkStuff ip-regex@1.0.3 has D:\zhongzi\node_modules as its parent node_modules
85235 verbose linkBins ip-regex@1.0.3
85236 verbose linkMans ip-regex@1.0.3
85237 silly build is-arrayish@0.2.1
85238 info linkStuff is-arrayish@0.2.1
85239 silly linkStuff is-arrayish@0.2.1 has D:\zhongzi\node_modules as its parent node_modules
85240 verbose linkBins is-arrayish@0.2.1
85241 verbose linkMans is-arrayish@0.2.1
85242 silly build error-ex@1.3.0
85243 info linkStuff error-ex@1.3.0
85244 silly linkStuff error-ex@1.3.0 has D:\zhongzi\node_modules as its parent node_modules
85245 verbose linkBins error-ex@1.3.0
85246 verbose linkMans error-ex@1.3.0
85247 silly build is-binary-path@1.0.1
85248 info linkStuff is-binary-path@1.0.1
85249 silly linkStuff is-binary-path@1.0.1 has D:\zhongzi\node_modules as its parent node_modules
85250 verbose linkBins is-binary-path@1.0.1
85251 verbose linkMans is-binary-path@1.0.1
85252 silly build is-buffer@1.1.3
85253 info linkStuff is-buffer@1.1.3
85254 silly linkStuff is-buffer@1.1.3 has D:\zhongzi\node_modules as its parent node_modules
85255 verbose linkBins is-buffer@1.1.3
85256 verbose linkMans is-buffer@1.1.3
85257 silly build is-builtin-module@1.0.0
85258 info linkStuff is-builtin-module@1.0.0
85259 silly linkStuff is-builtin-module@1.0.0 has D:\zhongzi\node_modules as its parent node_modules
85260 verbose linkBins is-builtin-module@1.0.0
85261 verbose linkMans is-builtin-module@1.0.0
85262 silly build is-bzip2@1.0.0
85263 info linkStuff is-bzip2@1.0.0
85264 silly linkStuff is-bzip2@1.0.0 has D:\zhongzi\node_modules as its parent node_modules
85265 verbose linkBins is-bzip2@1.0.0
85266 verbose linkMans is-bzip2@1.0.0
85267 silly build is-dotfile@1.0.2
85268 info linkStuff is-dotfile@1.0.2
85269 silly linkStuff is-dotfile@1.0.2 has D:\zhongzi\node_modules as its parent node_modules
85270 verbose linkBins is-dotfile@1.0.2
85271 verbose linkMans is-dotfile@1.0.2
85272 silly build is-extendable@0.1.1
